id,employee_id,client_id,date,region,sale
1,4,45,1/4/2024,North,491.35
2,34,42,1/4/2024,South,190.39
3,10,73,1/4/2024,North,286.9
4,4,24,1/4/2024,North,193.21
5,41,11,1/4/2024,North,250.97
6,23,51,1/4/2024,South,126.19
7,20,20,1/4/2024,East,382.99
8,1,35,1/4/2024,North,234.89
9,24,78,1/4/2024,West,491.59
10,23,23,1/4/2024,West,96.13
11,32,34,1/4/2024,South,110.34
12,37,66,1/4/2024,West,199.05
13,24,35,1/4/2024,East,440.3
14,32,9,1/4/2024,South,89.37
15,18,27,2/4/2024,East,326.73
16,28,92,2/4/2024,West,442.6
17,3,45,2/4/2024,West,394.7
18,16,75,2/4/2024,West,95.22
19,19,43,2/4/2024,North,367.66
20,41,28,2/4/2024,North,124.16
21,12,40,2/4/2024,North,279.27
22,11,50,2/4/2024,North,110.67
23,21,94,2/4/2024,South,134.03
24,36,3,2/4/2024,East,326.08
25,11,19,2/4/2024,South,258.14
26,17,36,2/4/2024,East,180.24
27,49,36,2/4/2024,East,324.06
28,50,94,2/4/2024,West,229.97
29,50,37,2/4/2024,South,448.18
30,21,50,2/4/2024,West,204.67
31,32,92,2/4/2024,East,207.68
32,29,88,2/4/2024,South,121.78
33,28,5,2/4/2024,East,426.27
34,42,66,2/4/2024,South,297.33
35,15,56,2/4/2024,South,280.34
36,2,69,3/4/2024,South,81.1
37,38,36,3/4/2024,East,264.2
38,17,87,3/4/2024,East,183.55
39,21,15,3/4/2024,West,72.89
40,31,75,3/4/2024,East,474.33
41,46,65,3/4/2024,West,83.74
42,35,68,3/4/2024,South,155.12
43,25,23,3/4/2024,West,184.95
44,36,37,3/4/2024,West,230.66
45,25,30,3/4/2024,South,113.55
46,24,18,3/4/2024,North,349.64
47,26,66,3/4/2024,South,50.03
48,20,10,3/4/2024,North,264.23
49,37,25,3/4/2024,West,450.21
50,26,56,3/4/2024,West,128.51
51,39,10,3/4/2024,North,246.14
52,25,53,3/4/2024,South,400.85
53,35,65,3/4/2024,North,299.39
54,21,36,3/4/2024,East,467.85
55,21,44,3/4/2024,North,129.76
56,46,11,3/4/2024,North,363.04
57,15,63,3/4/2024,East,72.99
58,28,1,3/4/2024,East,77.47
59,36,33,3/4/2024,South,339.53
60,23,24,3/4/2024,West,298.43
